,name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
0,amc ambassador brougham,13,8,360,175,3821,11,73,usa
1,amc ambassador dpl,15,8,390,190,3850,8.5,70,usa
2,amc ambassador sst,17,8,304,150,3672,11.5,72,usa
3,amc concord,19.4,6,232,90,3210,17.2,78,usa
4,amc concord,24.3,4,151,90,3003,20.1,80,usa
5,amc concord d/l,18.1,6,258,120,3410,15.1,78,usa
7,amc concord dl 6,20.2,6,232,90,3265,18.2,79,usa
8,amc gremlin,21,6,199,90,2648,15,70,usa
9,amc gremlin,19,6,232,100,2634,13,71,usa
10,amc gremlin,18,6,232,100,2789,15,73,usa
11,amc gremlin,20,6,232,100,2914,16,75,usa
12,amc hornet,18,6,199,97,2774,15.5,70,usa
13,amc hornet,18,6,232,100,2945,16,73,usa
14,amc hornet,19,6,232,100,2901,16,74,usa
15,amc hornet,22.5,6,232,90,3085,17.6,76,usa
16,amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,usa
17,amc matador,18,6,232,100,3288,15.5,71,usa
18,amc matador,14,8,304,150,3672,11.5,73,usa
19,amc matador,16,6,258,110,3632,18,74,usa
20,amc matador,15,6,258,110,3730,19,75,usa
21,amc matador,15.5,8,304,120,3962,13.9,76,usa
22,amc matador (sw),15,8,304,150,3892,12.5,72,usa
23,amc matador (sw),14,8,304,150,4257,15.5,74,usa
24,amc pacer,19,6,232,90,3211,17,75,usa
25,amc pacer d/l,17.5,6,258,95,3193,17.8,76,usa
26,amc rebel sst,16,8,304,150,3433,12,70,usa
27,amc spirit dl,27.4,4,121,80,2670,15,79,usa
28,audi 100 ls,24,4,107,90,2430,14.5,70,europe
29,audi 100ls,20,4,114,91,2582,14,73,europe
30,audi 100ls,23,4,115,95,2694,15,75,europe
31,audi 4000,34.3,4,97,78,2188,15.8,80,europe
32,audi 5000,20.3,5,131,103,2830,15.9,78,europe
33,audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,europe
34,audi fox,29,4,98,83,2219,16.5,74,europe
35,bmw 2002,26,4,121,113,2234,12.5,70,europe
36,bmw 320i,21.5,4,121,110,2600,12.8,77,europe
37,buick century,17,6,231,110,3907,21,75,usa
38,buick century,22.4,6,231,110,3415,15.8,81,usa
39,buick century 350,13,8,350,175,4100,13,73,usa
40,buick century limited,25,6,181,110,2945,16.4,82,usa
41,buick century luxus (sw),13,8,350,150,4699,14.5,74,usa
42,buick century special,20.6,6,231,105,3380,15.8,78,usa
43,buick electra 225 custom,12,8,455,225,4951,11,73,usa
44,buick estate wagon (sw),14,8,455,225,3086,10,70,usa
45,buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,usa
46,buick lesabre custom,13,8,350,155,4502,13.5,72,usa
47,buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,usa
48,buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,usa
49,buick skyhawk,21,6,231,110,3039,15,75,usa
50,buick skylark,20.5,6,231,105,3425,16.9,77,usa
51,buick skylark,26.6,4,151,84,2635,16.4,81,usa
52,buick skylark 320,15,8,350,165,3693,11.5,70,usa
53,buick skylark limited,28.4,4,151,90,2670,16,79,usa
54,cadillac eldorado,23,8,350,125,3900,17.4,79,usa
